Player,Player,CM,KG,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
"1Marc Bernal18,  Midfielder","Marc Bernal18,  Midfielder",191,84,3,244,2.7,0.3,1.3,-,1.3,0.3,0.3,-,6.68
"2Jules Koundé26,  D(CR)","Jules Koundé26,  D(CR)",180,75,29(3),2606,2,0.6,0.7,0.8,1.8,0.7,0.2,-,6.89
"3Marc Casadó21,  DMC","Marc Casadó21,  DMC",172,66,20(3),1618,1.9,1,1.1,0.2,0.7,0.9,0.2,-,6.75
"4Pedri22,  M(CL)","Pedri22,  M(CL)",174,60,35(2),2897,1.6,0.7,0.3,-,0.3,1.2,0.1,-,7.16
"5Eric García24,  D(CR),DMC","Eric García24,  D(CR),DMC",182,76,14(15),1556,1.3,0.5,0.7,0.2,1.4,0.3,0.3,-,6.73
"6Andreas Christensen29,  D(C),DMC","Andreas Christensen29,  D(C),DMC",187,82,2(3),252,1.2,0.8,1,0.6,1.6,-,-,-,6.57
"7Lamine Yamal18,  AM(R)","Lamine Yamal18,  AM(R)",180,72,31(4),2864,1.2,0.5,0.9,-,0.1,0.6,-,-,8.01
"8Gavi20,  M(CL)","Gavi20,  M(CL)",173,70,14(12),1085,1.2,0.4,1.5,-,0.2,0.4,-,-,6.48
"9Raphinha28,  AM(CLR),FW","Raphinha28,  AM(CLR),FW",176,68,32(4),2845,1,0.3,0.3,-,0.6,0.6,0.1,-,7.62
"10Pau Cubarsí18,  D(C)","Pau Cubarsí18,  D(C)",184,75,29(6),2621,1,0.5,0.7,1.3,2.5,0.3,0.3,-,6.73
"11Ronald Araújo26,  D(CR)","Ronald Araújo26,  D(CR)",188,79,12(1),760,0.9,0.7,0.7,0.8,1.7,0.1,0.3,-,6.79
"12Iñigo Martínez34,  D(C)","Iñigo Martínez34,  D(C)",182,76,28,2493,0.9,0.6,0.6,1.5,3.7,0.2,0.3,-,6.91
"13Gerard Martín23,  D(L)","Gerard Martín23,  D(L)",186,76,11(17),1033,0.8,0.5,0.5,0.2,1,0.2,0.1,-,6.43
"14Héctor Fort18,  D(R)","Héctor Fort18,  D(R)",185,78,5(12),579,0.8,0.4,0.5,0.2,0.8,0.4,-,-,6.37
"15Frenkie de Jong28,  D(C),DMC","Frenkie de Jong28,  D(C),DMC",181,74,9(17),1140,0.7,0.5,0.5,-,0.2,0.3,-,-,6.53
"16Fermín López22,  AM(CL)","Fermín López22,  AM(CL)",174,64,12(16),1247,0.7,0.2,1,-,0.1,0.9,-,-,6.68
"17Ansu Fati22,  AM(L),FW","Ansu Fati22,  AM(L),FW",178,66,3(3),233,0.7,0.2,0.3,-,-,0.2,-,-,6.39
"18Dani Olmo27,  AM(CLR),FW","Dani Olmo27,  AM(CLR),FW",179,72,13(12),1217,0.6,0.1,0.8,-,0.4,0.4,0.1,-,7.02
"19Alejandro Balde21,  D(LR),M(L)","Alejandro Balde21,  D(LR),M(L)",175,69,26(6),2292,0.6,0.2,0.5,0.8,0.6,0.2,0.2,-,6.73
"20Pablo Torre22,  AM(C)","Pablo Torre22,  AM(C)",173,65,4(6),309,0.5,0.3,0.4,-,0.4,0.2,-,-,6.66
"21Sergi Domínguez20,  Defender","Sergi Domínguez20,  Defender",188,78,2(1),173,0.3,1,0.7,2,2.3,-,-,-,6.13
"22Ferran Torres25,  AM(LR),FW","Ferran Torres25,  AM(LR),FW",184,77,12(15),1104,0.3,0.1,0.2,-,0.1,0.2,-,-,6.73
"23Robert Lewandowski36,  FW","Robert Lewandowski36,  FW",185,81,32(2),2682,0.3,0.1,0.9,-,0.8,0.2,0.1,-,7.27
"24Pau Víctor23,  Forward","Pau Víctor23,  Forward",184,77,2(19),309,0.1,0.1,0.3,-,0.2,0.1,-,-,6.28
"25Wojciech Szczesny35,  GK","Wojciech Szczesny35,  GK",195,90,15,1350,0.1,-,0.1,-,1.5,-,-,-,6.66
"26Dani Rodríguez19,  Forward","Dani Rodríguez19,  Forward",0,0,1,38,-,-,-,-,-,-,-,-,5.74
"27Iñaki Peña26,  GK","Iñaki Peña26,  GK",184,78,15(1),1394,-,-,-,-,1.7,0.1,-,-,6.57
"28Marc-André ter Stegen33,  GK","Marc-André ter Stegen33,  GK",187,85,8,677,-,-,-,-,0.6,0.1,-,-,6.46
