Player,Player,CM,KG,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
"1Lamine Yamal18,  AM(R)","Lamine Yamal18,  AM(R)",180,72,31(4),2864,13,1.8,40.4,78.9,0.6,0.9,0.4,8.01
"2Raphinha28,  AM(CLR),FW","Raphinha28,  AM(CLR),FW",176,68,32(4),2845,9,2.5,34.8,79.5,1.5,1.3,0.1,7.62
"3Ferran Torres25,  AM(LR),FW","Ferran Torres25,  AM(LR),FW",184,77,12(15),1104,6,0.7,12.6,77.6,0.1,0.1,-,6.73
"4Fermín López22,  AM(CL)","Fermín López22,  AM(CL)",174,64,12(16),1247,5,1,22.2,86.2,0.5,0.9,0.1,6.68
"5Pedri22,  M(CL)","Pedri22,  M(CL)",174,60,35(2),2897,5,1.9,72.2,89,0.3,3.9,0.4,7.16
"6Alejandro Balde21,  D(LR),M(L)","Alejandro Balde21,  D(LR),M(L)",175,69,26(6),2292,4,0.8,39.1,91.2,0.4,0.6,-,6.73
"7Iñigo Martínez34,  D(C)","Iñigo Martínez34,  D(C)",182,76,28,2493,4,0.6,86.3,91.4,-,4.9,-,6.91
"8Dani Olmo27,  AM(CLR),FW","Dani Olmo27,  AM(CLR),FW",179,72,13(12),1217,3,1,24.7,83.3,0.2,0.8,0.3,7.02
"9Eric García24,  D(CR),DMC","Eric García24,  D(CR),DMC",182,76,14(15),1556,3,0.2,44.4,92.4,0.1,1,0.1,6.73
"10Gerard Martín23,  D(L)","Gerard Martín23,  D(L)",186,76,11(17),1033,3,0.4,23.5,85.1,0.2,0.5,-,6.43
"11Jules Koundé26,  D(CR)","Jules Koundé26,  D(CR)",180,75,29(3),2606,3,1,56.4,88.6,0.3,1.7,-,6.89
"12Marc Casadó21,  DMC","Marc Casadó21,  DMC",172,66,20(3),1618,3,0.4,58.9,89.9,-,1.5,0.1,6.75
"13Pau Cubarsí18,  D(C)","Pau Cubarsí18,  D(C)",184,75,29(6),2621,3,0.3,74,93.6,-,2.7,0.1,6.73
"14Frenkie de Jong28,  D(C),DMC","Frenkie de Jong28,  D(C),DMC",181,74,9(17),1140,2,0.8,43.8,95.1,-,1.5,0.1,6.53
"15Robert Lewandowski36,  FW","Robert Lewandowski36,  FW",185,81,32(2),2682,2,0.6,15.1,74.7,-,0.3,-,7.27
"16Gavi20,  M(CL)","Gavi20,  M(CL)",173,70,14(12),1085,1,0.5,30.7,91,-,0.9,-,6.48
"17Pablo Torre22,  AM(C)","Pablo Torre22,  AM(C)",173,65,4(6),309,1,0.8,20.6,85.4,0.4,0.3,0.2,6.66
"18Pau Víctor23,  Forward","Pau Víctor23,  Forward",184,77,2(19),309,1,0.4,5.6,82.9,-,0.1,-,6.28
"19Ronald Araújo26,  D(CR)","Ronald Araújo26,  D(CR)",188,79,12(1),760,1,0.3,55.2,91.9,-,2,-,6.79
"20Andreas Christensen29,  D(C),DMC","Andreas Christensen29,  D(C),DMC",187,82,2(3),252,-,0.2,44,91.8,-,0.4,-,6.57
"21Ansu Fati22,  AM(L),FW","Ansu Fati22,  AM(L),FW",178,66,3(3),233,-,0.7,20.5,84.6,-,-,0.2,6.39
"22Dani Rodríguez19,  Forward","Dani Rodríguez19,  Forward",0,0,1,38,-,-,17,88.2,-,-,-,5.74
"23Héctor Fort18,  D(R)","Héctor Fort18,  D(R)",185,78,5(12),579,-,0.6,25.4,92.4,0.1,0.5,-,6.37
"24Iñaki Peña26,  GK","Iñaki Peña26,  GK",184,78,15(1),1394,-,-,34.4,87.6,-,2.8,-,6.57
"25Marc Bernal18,  Midfielder","Marc Bernal18,  Midfielder",191,84,3,244,-,0.3,53.3,92.5,-,3,-,6.68
"26Marc-André ter Stegen33,  GK","Marc-André ter Stegen33,  GK",187,85,8,677,-,-,26.4,91.5,-,3.4,-,6.46
"27Sergi Domínguez20,  Defender","Sergi Domínguez20,  Defender",188,78,2(1),173,-,-,59.7,95,-,0.7,-,6.13
"28Wojciech Szczesny35,  GK","Wojciech Szczesny35,  GK",195,90,15,1350,-,-,26.1,87.5,-,2.3,-,6.66
