Player,Player,CM,KG,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
"1Lamine Yamal18,  AM(R)","Lamine Yamal18,  AM(R)",180,72,31(4),2864,9,13,3,-,4.1,78.9,-,12,8.01
"2Raphinha28,  AM(CLR),FW","Raphinha28,  AM(CLR),FW",176,68,32(4),2845,18,9,4,-,3.2,79.5,0.3,10,7.62
"3Robert Lewandowski36,  FW","Robert Lewandowski36,  FW",185,81,32(2),2682,27,2,1,-,3.4,74.7,1.1,4,7.27
"4Pedri22,  M(CL)","Pedri22,  M(CL)",174,60,35(2),2897,4,5,3,-,0.7,89,0.2,-,7.16
"5Dani Olmo27,  AM(CLR),FW","Dani Olmo27,  AM(CLR),FW",179,72,13(12),1217,10,3,1,-,1.7,83.3,0.4,1,7.02
"6Iñigo Martínez34,  D(C)","Iñigo Martínez34,  D(C)",182,76,28,2493,-,4,5,-,0.5,91.4,2.1,1,6.91
"7Jules Koundé26,  D(CR)","Jules Koundé26,  D(CR)",180,75,29(3),2606,2,3,4,-,0.6,88.6,0.9,3,6.89
"8Ronald Araújo26,  D(CR)","Ronald Araújo26,  D(CR)",188,79,12(1),760,1,1,3,-,0.3,91.9,2.5,-,6.79
"9Marc Casadó21,  DMC","Marc Casadó21,  DMC",172,66,20(3),1618,1,3,2,1,0.6,89.9,0.4,-,6.75
"10Pau Cubarsí18,  D(C)","Pau Cubarsí18,  D(C)",184,75,29(6),2621,-,3,3,-,0.2,93.6,1.8,-,6.73
"11Eric García24,  D(CR),DMC","Eric García24,  D(CR),DMC",182,76,14(15),1556,2,3,4,-,0.5,92.4,0.9,-,6.73
"12Ferran Torres25,  AM(LR),FW","Ferran Torres25,  AM(LR),FW",184,77,12(15),1104,10,6,1,1,1.8,77.6,0.2,-,6.73
"13Alejandro Balde21,  D(LR),M(L)","Alejandro Balde21,  D(LR),M(L)",175,69,26(6),2292,-,4,2,-,0.4,91.2,0.5,-,6.73
"14Marc Bernal18,  Midfielder","Marc Bernal18,  Midfielder",191,84,3,244,-,-,2,-,0.7,92.5,0.3,-,6.68
"15Fermín López22,  AM(CL)","Fermín López22,  AM(CL)",174,64,12(16),1247,6,5,4,1,1.5,86.2,0.3,1,6.68
"16Wojciech Szczesny35,  GK","Wojciech Szczesny35,  GK",195,90,15,1350,-,-,-,-,-,87.5,0.1,-,6.66
"17Pablo Torre22,  AM(C)","Pablo Torre22,  AM(C)",173,65,4(6),309,3,1,-,-,0.6,85.4,0.1,-,6.66
"18Andreas Christensen29,  D(C),DMC","Andreas Christensen29,  D(C),DMC",187,82,2(3),252,-,-,3,-,0.2,91.8,2.2,-,6.57
"19Iñaki Peña26,  GK","Iñaki Peña26,  GK",184,78,15(1),1394,-,-,1,-,-,87.6,0.1,-,6.57
"20Frenkie de Jong28,  D(C),DMC","Frenkie de Jong28,  D(C),DMC",181,74,9(17),1140,2,2,3,-,0.2,95.1,0.4,-,6.53
"21Gavi20,  M(CL)","Gavi20,  M(CL)",173,70,14(12),1085,1,1,4,-,0.4,91,0.8,1,6.48
"22Marc-André ter Stegen33,  GK","Marc-André ter Stegen33,  GK",187,85,8,677,-,-,-,-,-,91.5,0.3,-,6.46
"23Gerard Martín23,  D(L)","Gerard Martín23,  D(L)",186,76,11(17),1033,1,3,2,-,0.3,85.1,0.5,1,6.43
"24Ansu Fati22,  AM(L),FW","Ansu Fati22,  AM(L),FW",178,66,3(3),233,-,-,1,-,2,84.6,0.3,-,6.39
"25Héctor Fort18,  D(R)","Héctor Fort18,  D(R)",185,78,5(12),579,-,-,2,-,0.4,92.4,0.2,-,6.37
"26Pau Víctor23,  Forward","Pau Víctor23,  Forward",184,77,2(19),309,2,1,2,-,0.7,82.9,0.1,-,6.28
"27Sergi Domínguez20,  Defender","Sergi Domínguez20,  Defender",188,78,2(1),173,-,-,1,-,-,95,0.3,-,6.13
"28Dani Rodríguez19,  Forward","Dani Rodríguez19,  Forward",0,0,1,38,-,-,-,-,2,88.2,-,-,5.74
