Player,Player,CM,KG,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
"1Ousmane Dembélé28,  AM(CLR),FW","Ousmane Dembélé28,  AM(CLR),FW",178,67,20(9),1737,21,6,3.3,2.2,1.4,0.5,0.3,1.1,1.4,7.65
"2Bradley Barcola22,  AM(LR),FW","Bradley Barcola22,  AM(LR),FW",182,73,27(7),2194,14,10,2.2,1.5,1,0.6,0.2,0.6,1.9,7.25
"3Gonçalo Ramos24,  AM(C),FW","Gonçalo Ramos24,  AM(C),FW",185,79,12(10),1064,10,3,2.5,0.7,-,0.5,0.4,0.5,0.7,6.84
"4Désiré Doué20,  AM(CLR),FW","Désiré Doué20,  AM(CLR),FW",181,79,18(13),1735,6,6,1.8,1.8,1.8,1.4,-,1.2,1.7,7.21
"5Lee Kang-In24,  M(CLR),FW","Lee Kang-In24,  M(CLR),FW",173,66,19(11),1669,6,6,1.4,1.9,1,0.9,-,0.9,0.7,7.07
"6Vitinha25,  M(C)","Vitinha25,  M(C)",172,64,20(9),2036,5,1,0.9,0.9,0.9,0.4,-,0.7,1,7.01
"7Achraf Hakimi26,  D(LR),M(R)","Achraf Hakimi26,  D(LR),M(R)",181,73,24(1),2068,4,6,1.3,2,1,1,0.3,0.6,1.5,7.30
"8Fabián Ruiz29,  M(CL)","Fabián Ruiz29,  M(CL)",189,70,21(9),1923,4,5,1.4,1.2,0.5,0.3,0.2,0.5,0.8,6.87
"9Khvicha Kvaratskhelia24,  AM(CLR),FW","Khvicha Kvaratskhelia24,  AM(CLR),FW",183,76,11(3),920,4,3,2.4,1.8,1.8,1.3,-,1.8,1.4,7.34
"10João Neves20,  D(R),DMC","João Neves20,  D(R),DMC",174,66,22(7),1851,3,8,1,1.1,0.6,1.1,0.1,0.6,0.9,7.11
"11Marco Asensio29,  AM(CLR),FW","Marco Asensio29,  AM(CLR),FW",182,76,8(4),620,2,4,2.2,1.3,0.3,0.3,0.3,0.4,0.3,6.98
"12Marquinhos31,  D(CR),DMC","Marquinhos31,  D(CR),DMC",183,75,19(3),1725,2,-,0.4,0.4,0.1,0.3,-,-,0.2,6.93
"13Randal Kolo Muani26,  AM(CLR),FW","Randal Kolo Muani26,  AM(CLR),FW",187,73,2(8),351,2,1,1.6,0.5,0.7,0.7,0.2,1,1.1,6.55
"14Senny Mayulu19,  M(C)","Senny Mayulu19,  M(C)",183,69,8(12),802,2,2,1.3,0.6,0.8,0.9,-,1.1,1.1,6.65
"15Ibrahim Mbaye17,  Forward","Ibrahim Mbaye17,  Forward",185,65,4(5),337,1,1,1.3,0.3,0.6,0.3,0.1,1.2,1.1,6.43
"16Beraldo21,  D(CL)","Beraldo21,  D(CL)",186,78,22(3),2011,1,-,0.5,0.3,-,0.4,-,0.1,0.4,6.74
"17Nuno Mendes23,  D(L),M(L)","Nuno Mendes23,  D(L),M(L)",180,70,19(5),1676,1,3,0.9,1.3,1.3,1,-,0.9,1.2,7.03
"18Warren Zaïre-Emery19,  D(R),DMC,M(R)","Warren Zaïre-Emery19,  D(R),DMC,M(R)",178,68,23(6),2053,1,2,0.6,0.6,0.7,0.7,-,1.1,1.3,6.75
"19Arnau Tenas24,  GK","Arnau Tenas24,  GK",185,85,1,90,-,1,-,2,-,-,-,-,-,7.81
"20Axel Tape17,  Defender","Axel Tape17,  Defender",180,75,2,180,-,-,0.5,0.5,0.5,1.5,-,1,2.5,6.45
"21Gianluigi Donnarumma26,  GK","Gianluigi Donnarumma26,  GK",196,90,24,2092,-,-,-,-,-,0.1,-,-,-,6.64
"22Lucas Hernández29,  D(CL)","Lucas Hernández29,  D(CL)",184,79,10(6),876,-,-,0.2,0.1,0.1,0.6,-,0.1,0.3,6.52
"23Matvey Safonov26,  GK","Matvey Safonov26,  GK",192,82,9(1),878,-,-,-,-,-,0.1,-,-,-,6.58
"24Milan Skriniar30,  D(C)","Milan Skriniar30,  D(C)",188,83,4(1),381,-,-,0.6,0.2,-,1,0.2,-,0.4,6.77
"25Noham Kamara18,  Defender","Noham Kamara18,  Defender",185,0,0(2),76,-,-,-,-,-,-,-,-,-,6.39
"26Presnel Kimpembe29,  D(C)","Presnel Kimpembe29,  D(C)",182,79,0(2),21,-,-,-,-,-,0.5,-,-,-,6.25
"27Willian Pacho23,  D(C)","Willian Pacho23,  D(C)",188,81,23(5),2131,-,1,0.1,0.1,0.1,0.3,-,0.1,0.5,6.88
"28Yoram Zague19,  Defender","Yoram Zague19,  Defender",168,58,2(2),184,-,-,0.3,0.5,0.5,-,-,-,0.3,6.47
